Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry,Country
McKesson Corp,MCK,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Distributors,US
Mediclinic International PLC,MDC.L,London Stock Exchange,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities,UK
Meituan,3690.HK,Hong Kong Exchanges And Clearing Ltd,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,HK
Merck & Co Inc,MRK,"New York Stock Exchange, Inc.",Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,US
Meta Materials Inc,MMAT,Nasdaq,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US
MetLife Inc,MET,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Life and Health Insurance,US
Micro Focus International PLC,MCRO.L,London Stock Exchange,Information Technology,Software and Services,Software,Application Software,UK
Microsoft Corp,MSFT,Nasdaq,Information Technology,Software and Services,Software,Systems Software,US
Middlesex Water Co,MSEX,Nasdaq,Utilities,Utilities,Water Utilities,Water Utilities,US
Midea Group Co Ltd,000333.SZ,Shenzhen Stock Exchange,Consumer Discretionary,Consumer Durables and Apparel,Household Durables,Household Appliances,China
MindTree Ltd,MINDTREE.BO,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services,India
Molson Coors Beverage Co,TAP,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Beverages,Brewers,US
Mondi PLC,MNDI.L,London Stock Exchange,Materials,Materials,Paper and Forest Products,Paper Products,UK
Monster Beverage Corp,MNST,Nasdaq,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,US
Moody's Corporation,MCO,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data,US
