Date,Portfolio 1
2020-12-07,41.7404%
2020-12-08,42.1150%
2020-12-09,41.4249%
2020-12-10,41.4698%
2020-12-11,41.3714%
2020-12-14,41.7320%
2020-12-15,41.9632%
2020-12-16,42.5101%
2020-12-17,43.1317%
2020-12-18,43.6573%
2020-12-21,42.9968%
2020-12-22,43.1750%
2020-12-23,44.1562%
2020-12-24,44.3181%
2020-12-25,44.5935%
2020-12-28,44.8844%
2020-12-29,45.2180%
2020-12-30,46.1456%
2020-12-31,46.6928%
2021-01-01,46.8834%
2021-01-04,47.2207%
2021-01-05,48.3541%
2021-01-06,50.0256%
2021-01-07,51.8073%
2021-01-08,52.4048%
2021-01-11,52.1935%
2021-01-12,52.3856%
2021-01-13,51.9082%
2021-01-14,51.4552%
2021-01-15,51.0477%
2021-01-18,50.5035%
2021-01-19,51.0886%
2021-01-20,51.8925%
2021-01-21,52.2946%
2021-01-22,52.5751%
2021-01-25,54.2873%
2021-01-26,53.7940%
2021-01-27,52.5272%
2021-01-28,52.1109%
2021-01-29,51.1408%
2021-02-01,52.0210%
2021-02-02,53.2876%
2021-02-03,54.1014%
2021-02-04,54.6814%
2021-02-05,55.8119%
2021-02-08,56.0587%
2021-02-09,57.4283%
2021-02-10,58.4648%
2021-02-11,58.3455%
2021-02-12,58.5186%
2021-02-15,58.6466%
2021-02-16,58.9247%
2021-02-17,58.8133%
2021-02-18,57.3909%
2021-02-19,57.0584%
2021-02-22,55.2946%
2021-02-23,55.7546%
2021-02-24,55.3326%
2021-02-25,54.9366%
2021-02-26,53.3030%
2021-03-01,54.0723%
2021-03-02,54.0345%
2021-03-03,54.8428%
2021-03-04,53.5713%
2021-03-05,54.1725%
2021-03-08,52.8449%
2021-03-09,53.4681%
2021-03-10,54.4144%
2021-03-11,55.4185%
2021-03-12,55.3620%
2021-03-15,54.4140%
2021-03-16,54.6612%
2021-03-17,54.6149%
2021-03-18,54.1698%
2021-03-19,54.0122%
2021-03-22,54.3162%
2021-03-23,54.2909%
2021-03-24,54.6238%
2021-03-25,54.1128%
2021-03-26,55.1505%
2021-03-29,55.1398%
2021-03-30,56.0414%
2021-03-31,55.5508%
2021-04-01,56.6338%
2021-04-02,57.0999%
2021-04-05,57.4668%
2021-04-06,57.4241%
2021-04-07,56.6588%
2021-04-08,57.1121%
2021-04-09,57.5663%
2021-04-12,57.7769%
2021-04-13,57.3384%
2021-04-14,57.5595%
2021-04-15,57.7389%
2021-04-16,58.5061%
2021-04-19,58.6792%
2021-04-20,57.8673%
2021-04-21,58.2698%
2021-04-22,58.0092%
2021-04-23,59.0899%
2021-04-26,58.2727%
2021-04-27,59.1265%
2021-04-28,59.6231%
2021-04-29,59.9847%
2021-04-30,60.0014%
2021-05-03,60.0409%
2021-05-04,58.7792%
2021-05-05,59.3369%
2021-05-06,59.8268%
2021-05-07,59.4175%
2021-05-10,59.4519%
2021-05-11,60.0268%
2021-05-12,60.5866%
2021-05-13,61.3214%
2021-05-14,62.9224%
2021-05-17,62.5450%
2021-05-18,63.4107%
2021-05-19,63.4011%
2021-05-20,64.9729%
2021-05-21,65.1736%
